time,FGOALS-g2,FIO-ESM,MIROC-ESM,MIROC5,CanESM2,MPI-ESM-MR,CSIRO-Mk3-6-0,HadGEM2-AO,BNU-ESM,CCSM4,GFDL-ESM2G,MRI-CGCM3,GFDL-ESM2M,NorESM1-M,IPSL-CM5A-MR,IPSL-CM5A-LR,GFDL-CM3,CNRM-CM5,GISS-E2-H,MIROC-ESM-CHEM,NorESM1-ME,HadGEM2-ES,GISS-E2-R,bcc-csm1-1-m,MPI-ESM-LR,bcc-csm1-1,CESM1-CAM5
1688-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1688-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-06-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-07-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-08-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-09-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-10-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-11-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1689-12-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690-01-25 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690-02-25 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690-03-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690-04-27 00:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
1690-05-27 12:25:26.290448384,,,,,,,,,,,,,,,,,,,,,,,,,,,
