time,IPSL-CM5A-LR,GFDL-CM3,MIROC-ESM,MIROC5,GISS-E2-H,MIROC-ESM-CHEM,GFDL-ESM2G,CCSM4,NorESM1-ME,HadGEM2-AO,GISS-E2-R,FIO-ESM,CESM1-CAM5,MRI-CGCM3,GFDL-ESM2M,bcc-csm1-1-m,HadGEM2-ES,NorESM1-M,CSIRO-Mk3-6-0,bcc-csm1-1,IPSL-CM5A-MR
2030-07-01,1.55794236206e-05,2.55756118956e-05,4.44586443336e-05,6.36953463527e-06,3.5923602411e-05,3.32590367028e-05,1.59868826207e-05,1.29920894332e-05,8.29839860188e-06,6.0511612415e-06,2.58943901675e-05,4.22829528664e-05,5.15851941989e-06,2.17545825248e-05,1.65346859199e-05,1.46181967255e-05,4.06877542812e-06,5.36103925697e-06,3.27808898314e-06,1.30046115449e-05,4.06996881005e-06
2030-08-01,1.18103508822e-05,1.46149855264e-05,2.24070408876e-05,1.84389367496e-05,2.04760679026e-05,4.40522650024e-05,7.01337719515e-06,8.70250723284e-06,1.2228372797e-06,4.67756111161e-06,5.07631086748e-05,1.69884814568e-05,6.38550532911e-06,2.19247025046e-05,1.43523852504e-06,5.68444540268e-06,8.51178102477e-06,2.27253394769e-06,5.645096064e-07,4.81284915944e-06,7.4878262272e-06
2030-09-01,5.36826486286e-06,1.58241177814e-05,1.64678148091e-05,1.22864469404e-05,1.69101293087e-05,2.86631831235e-05,1.64057851306e-05,8.3310994222e-06,1.17629473152e-05,1.16206958675e-05,2.4237468646e-05,2.3372087829e-05,1.60849830389e-05,2.31996144694e-05,7.38314998709e-06,1.82502742897e-05,1.42430153628e-05,1.16801302283e-05,1.07919387399e-05,4.09197486044e-06,1.17959477003e-05
2030-10-01,3.63536625514e-05,3.87129990334e-05,1.90186109952e-05,1.70139763782e-05,6.05059918447e-05,4.69949183753e-05,3.42136087662e-05,3.09636528789e-05,5.30801025434e-05,1.65991904656e-05,4.89088234493e-05,3.90109709163e-05,3.83959756453e-05,2.72657617275e-05,2.33058595616e-05,5.42442048321e-05,3.42656761902e-05,2.560208668e-05,1.14619832451e-05,3.23314093597e-05,2.21988442978e-05
2030-11-01,5.64290259035e-05,5.54686799508e-05,7.60552643139e-05,4.00237443318e-05,5.37347510393e-05,4.30363278914e-05,2.44926644276e-05,3.50430308012e-05,1.73637341049e-05,3.55526296538e-05,4.75417913322e-05,8.30348632007e-05,3.78490101343e-05,5.64712377343e-05,3.45084283456e-05,6.08610106654e-05,5.58956677802e-05,5.04423223902e-05,4.58783410197e-05,7.73907090964e-05,6.17924921504e-05
2030-12-01,5.51724034494e-05,4.97766218359e-05,8.2226355759e-05,2.19722926158e-05,6.31336165876e-05,5.06067966247e-05,6.32711492269e-05,3.64555184885e-05,6.90907740136e-05,3.2619346008e-05,4.93909075961e-05,8.615854919e-05,3.41604578867e-05,5.15483118415e-05,6.76703953609e-05,2.66243734933e-05,4.86032259427e-05,5.53492391191e-05,1.29315575058e-05,3.28504947295e-05,2.53449095908e-05
2031-01-01,1.89448335277e-05,3.60633939825e-05,5.6313991566e-05,2.09361724046e-05,4.11142144306e-05,5.36978868089e-05,6.17113603059e-05,6.46179275344e-05,3.62397133813e-05,4.26752642289e-05,4.13037477832e-05,6.24011835801e-05,2.98175614124e-05,6.15475663121e-05,3.53053601935e-05,6.56390396736e-05,3.30252164964e-05,2.96073740174e-05,4.15821380167e-05,2.18464024632e-05,4.38756589834e-05
2031-02-01,5.45548948594e-05,4.51182336292e-05,4.93667985211e-05,4.09360274716e-05,3.2630284295e-05,3.71986653893e-05,2.86611313337e-05,4.11794184071e-05,2.82621010683e-05,4.38929959533e-05,4.91718182047e-05,5.77895276365e-05,5.71455963901e-05,5.75723006044e-05,3.72756026081e-05,3.73714728886e-05,2.96408688016e-05,5.13198901899e-05,3.134237369e-05,3.92088299122e-05,1.73784680296e-05
2031-03-01,3.64737643395e-05,4.0335627394e-05,4.07426437353e-05,5.96420924558e-05,3.76212885082e-05,5.21203226526e-05,6.2299630574e-05,3.3421971652e-05,5.88783897911e-05,1.6277782563e-05,2.38205889597e-05,6.33137597712e-05,2.3639034657e-05,1.83718856577e-05,3.10575382577e-05,2.96724398638e-05,3.29941612368e-05,3.09900642605e-05,4.30881987995e-05,4.85189528263e-05,3.3685123656e-05
2031-04-01,2.64688385414e-05,4.38473795536e-05,3.28094249805e-05,3.57844495011e-05,4.47386535901e-05,5.40775278447e-05,3.26210420604e-05,3.70363921118e-05,2.3825290782e-05,3.24161265845e-05,4.39014714857e-05,4.20737653864e-05,3.19314260949e-05,4.5534294302e-05,5.86755373256e-05,3.53977016381e-05,3.21981808936e-05,2.65327926172e-05,3.12087790397e-05,3.11897514621e-05,3.08909981738e-05
